Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JPM,XOM,JNJ
2023-05-30,174.84877014160156,323.55426025390625,122.65625,121.66000366210938,40.075523376464844,260.4759216308594,201.16000366210938,128.3787841796875,94.11470794677734,141.42724609375
2023-05-31,174.79945373535156,320.79949951171875,121.8628158569336,120.58000183105469,37.800533294677734,262.6588134765625,203.92999267578125,126.7444076538086,92.43216705322266,142.0594024658203
2023-06-01,177.6001739501953,324.8925476074219,122.70584106445312,122.7699966430664,39.734832763671875,270.4873352050781,207.52000427246094,128.4908447265625,93.49959564208984,141.5830078125
2023-06-02,178.44830322265625,327.6474304199219,123.6480484008789,124.25,39.29222106933594,270.4873352050781,213.97000122070312,131.1898956298828,95.67063903808594,143.8092498779297
2023-06-05,177.0972442626953,328.1749267578125,124.97706604003906,125.30000305175781,39.13636016845703,269.27685546875,217.61000061035156,129.9010772705078,95.2454833984375,145.0460662841797
2023-06-06,176.73236083984375,325.9671936035156,126.26640319824219,126.61000061035156,38.619815826416016,269.0089416503906,221.30999755859375,130.13455200195312,96.02342987060547,144.9178009033203
2023-06-07,175.36158752441406,315.9052734375,121.49583435058594,121.2300033569336,37.44572067260742,261.5474853515625,224.57000732421875,131.3953857421875,98.17637634277344,145.22930908203125
2023-06-08,178.07354736328125,317.74176025390625,121.1387939453125,124.25,38.479923248291016,262.5198974609375,234.86000061035156,131.4327392578125,97.86882019042969,146.82342529296875
2023-06-09,178.45816040039062,319.2364501953125,121.22804260253906,123.43000030517578,38.73971939086914,262.88702392578125,244.39999389648438,131.6942138671875,97.1451416015625,146.59437561035156
2023-06-12,181.24900817871094,324.179443359375,122.6264877319336,126.56999969482422,39.4511604309082,268.93951416015625,249.8300018310547,131.68490600585938,96.26766204833984,146.4936065673828
2023-06-13,180.775634765625,326.5631408691406,122.81493377685547,126.66000366210938,40.98996353149414,269.2073974609375,258.7099914550781,132.6374969482422,96.28575897216797,147.26318359375
2023-06-14,181.4068145751953,329.54254150390625,122.65625,126.41999816894531,42.963417053222656,271.2215881347656,256.7900085449219,132.14254760742188,95.12786865234375,148.01443481445312
2023-06-15,183.43833923339844,340.0539245605469,124.06460571289062,127.11000061035156,42.619686126708984,279.635498046875,255.89999389648438,133.63682556152344,95.7882308959961,150.0024871826172
2023-06-16,182.36341857910156,334.417236328125,122.51739501953125,125.48999786376953,42.65864944458008,278.8119812011719,260.5400085449219,133.79559326171875,95.10072326660156,150.4605712890625
2023-06-20,182.45216369628906,330.23614501953125,122.09090423583984,125.77999877929688,43.773780822753906,282.1160583496094,274.45001220703125,133.1138458251953,92.92064666748047,150.3689727783203
2023-06-21,181.41668701171875,325.84991455078125,119.56182098388672,124.83000183105469,43.011375427246094,279.4470520019531,259.4599914550781,132.91770935058594,93.96094512939453,150.139892578125
2023-06-22,184.4146728515625,331.8577575683594,122.14051818847656,130.14999389648438,42.991397857666016,282.661865234375,264.6099853515625,130.35873413085938,93.44532012939453,151.73402404785156
2023-06-23,184.09906005859375,327.2762145996094,121.3371353149414,129.3300018310547,42.176029205322266,286.4818420410156,256.6000061035156,129.6769561767578,92.63116455078125,151.6057586669922
2023-06-26,182.7085723876953,321.00457763671875,117.36992645263672,127.33000183105469,40.60026168823242,276.30169677734375,241.0500030517578,129.99449157714844,94.34088897705078,149.91087341308594
2023-06-27,185.4600067138672,326.83660888671875,117.36002349853516,129.17999267578125,41.843284606933594,284.8149108886719,250.2100067138672,130.00384521484375,94.57605743408203,149.59938049316406
2023-06-28,186.63352966308594,328.0870056152344,119.19486236572266,129.0399932861328,41.08488464355469,283.0686340332031,256.239990234375,129.4341278076172,95.34498596191406,149.2970428466797
2023-06-29,186.96884155273438,327.3055114746094,118.12370300292969,127.9000015258789,40.79011535644531,279.3379211425781,257.5,133.95437622070312,96.52095031738281,150.3414764404297
2023-06-30,191.28826904296875,332.6686096191406,118.71878814697266,130.36000061035156,42.26895523071289,284.7454833984375,261.7699890136719,135.83157348632812,97.01847839355469,151.6423797607422
2023-07-03,189.79916381835938,330.1775207519531,118.91714477539062,130.22000122070312,42.37986755371094,283.79290771484375,279.82000732421875,136.9242706298828,97.20845794677734,149.6543426513672
